FABR,DESCRICAO_FABR,FORN,DESCRICAO_FORN,PRODUTO,DESCRICAO,CL,SIT,Motivo,DEMAX,ESTOQATUALDEP,TOTALDEMAXFILIAL,ESTOQATUALLJ,ESTOQATUALEMP,ESTOQINDISPDEP,ESTOQUERESERVA,PRCVENDALJ1,VENDAMESANTERIOR,TOTALLOJASATIVAS,ULTCUSTOCOMICMS,QTDEPEND,QTDEFAC,
37686-8,BIOLAB COSMIATRIC,37686-8,BIOLAB COSMIATRIC,20830-2,MATERSKIN LOCAO 120G,B,D,descontinuação definitiva pelo fabricante,602,0,0,0,0,41,0,34.05,0,0,22.78,0,0,
37686-8,BIOLAB COSMIATRIC,37686-8,BIOLAB COSMIATRIC,24001-0,REPITELIN LOCAO OLEOSA 100ML,C,D,Baixo desempenho.,194,0,146,115,115,331,0,53.05,5,129,28.90,0,0,
37686-8,BIOLAB COSMIATRIC,37686-8,BIOLAB COSMIATRIC,25302-2,HIDRAKIDS LOCAO 60G,B,D,descontinuação definitiva pelo fabricante,340,0,0,0,0,40,0,34.25,0,0,22.89,0,0,
37686-8,BIOLAB COSMIATRIC,37686-8,BIOLAB COSMIATRIC,26970-0,SENSIAL 120G,C,D,DESCONTINUAÇÃO DEFINITIVA PELO FABRICANTE,25,0,0,0,0,54,0,65.19,0,0,42.40,0,0,
37686-8,BIOLAB COSMIATRIC,37686-8,BIOLAB COSMIATRIC,27185-3,UREHIDRA 10% CREME GEL 120G,C,D,Baixo desempenho.,94,0,0,111,111,97,0,43.30,6,0,23.16,0,0,
37686-8,BIOLAB COSMIATRIC,37686-8,BIOLAB COSMIATRIC,28739-3,REPITELIN LOCAO OLEOSA 30ML,C,D,Baixo desempenho.,141,0,126,129,129,25,0,22.45,1,126,12.22,0,0,
37686-8,BIOLAB COSMIATRIC,37686-8,BIOLAB COSMIATRIC,29388-1,ACNE CARE NOTURNO GEL 60ML,C,D,DESCONTINUAÇÃO DEFINITIVA PELO FABRICANTE,33,0,0,0,0,27,0,43.00,0,0,28.12,0,0,
37686-8,BIOLAB COSMIATRIC,37686-8,BIOLAB COSMIATRIC,29389-0,ACNE CARE PURIFICADOR GEL 100ML,C,D,DESCONTINUAÇÃO DEFINITIVA PELO FABRICANTE,31,0,0,0,0,145,0,47.55,0,0,31.80,0,0,
37686-8,BIOLAB COSMIATRIC,37686-8,BIOLAB COSMIATRIC,30302-0,ACNE CARE ROLLON 15ML,C,D,Descontinuação definitiva pelo fabricante.,3,0,0,0,0,111,0,22.09,0,0,13.43,0,0,
37686-8,BIOLAB COSMIATRIC,37686-8,BIOLAB COSMIATRIC,30303-8,ACNE CARE TONICO 130ML,C,D,descontinuação definitiva pelo fabricante,13,0,0,0,0,94,0,43.25,0,0,26.29,0,0,
37686-8,BIOLAB COSMIATRIC,37686-8,BIOLAB COSMIATRIC,30503-0,MATER CARE CREME 60G,C,A,,212,224,567,858,1082,71,3,76.79,139,477,47.69,0,0,
37686-8,BIOLAB COSMIATRIC,37686-8,BIOLAB COSMIATRIC,32328-4,CAFFE GREEN NOTURNO GEL 60G,C,D,Baixo desempenho.,119,0,0,169,169,27,0,129.09,3,0,73.58,0,0,
37686-8,BIOLAB COSMIATRIC,37686-8,BIOLAB COSMIATRIC,32329-2,CAFFE GREEN LOCAO TONICA 140ML,C,S,Baixo desempenho.,32,0,0,162,162,27,0,51.69,6,0,29.47,0,0,
37686-8,BIOLAB COSMIATRIC,37686-8,BIOLAB COSMIATRIC,32330-6,CAFFE GREEN DIURNO 60G,C,D,Baixo desempenho.,119,0,0,104,104,62,0,132.79,5,0,75.69,0,0,
37686-8,BIOLAB COSMIATRIC,37686-8,BIOLAB COSMIATRIC,32331-4,CAFFE GREEN LIMPEZA MOUSSE 150ML,C,D,Baixo desempenho.,54,0,0,115,115,13,0,51.69,0,0,32.10,0,0,
37686-8,BIOLAB COSMIATRIC,37686-8,BIOLAB COSMIATRIC,32576-7,PANTOHAIR LOCAO CAPILAR 95ML,C,A,,69,170,174,159,329,333,34,73.85,21,127,48.91,0,0,
37686-8,BIOLAB COSMIATRIC,37686-8,BIOLAB COSMIATRIC,32578-3,MATERSKIN LOCAO 200G,C,A,,845,1429,930,1089,2518,53,30,70.15,423,480,38.91,0,0,
37686-8,BIOLAB COSMIATRIC,37686-8,BIOLAB COSMIATRIC,33047-7,HIDRAKIDS LOCAO 200G,B,A,,727,686,930,1004,1690,80,61,59.69,624,486,37.07,0,1,
37686-8,BIOLAB COSMIATRIC,37686-8,BIOLAB COSMIATRIC,33049-3,MATERSKIN PG CR GEL 120G,B,D,Baixo desempenho.,24,0,0,258,258,623,0,82.65,14,0,46.68,0,0,
37686-8,BIOLAB COSMIATRIC,37686-8,BIOLAB COSMIATRIC,33513-4,MATERSKIN LOCAO CORPORAL FPS30 150G,B,A,,59,99,197,230,329,259,18,79.95,22,128,52.12,0,0,
37686-8,BIOLAB COSMIATRIC,37686-8,BIOLAB COSMIATRIC,33519-3,PHOTOPROT FPS100 40ML,B,A,,86,297,397,399,696,253,105,74.99,99,299,48.88,0,2,
37686-8,BIOLAB COSMIATRIC,37686-8,BIOLAB COSMIATRIC,33851-6,PANTOHAIR SHP ANTIQUEDA 200ML,B,A,,116,119,171,315,434,377,2,66.60,67,131,43.97,0,0,
37686-8,BIOLAB COSMIATRIC,37686-8,BIOLAB COSMIATRIC,33852-4,CAFFE GREEN CORPO EMULSAO 190G,B,D,Baixo desempenho.,20,0,0,103,103,102,0,145.89,0,0,83.16,0,0,
37686-8,BIOLAB COSMIATRIC,37686-8,BIOLAB COSMIATRIC,33853-2,CAFFE GREEN SERUM OLHO 20G,B,D,Baixo desempenho.,52,0,0,89,89,19,0,114.49,4,0,65.27,0,0,
37686-8,BIOLAB COSMIATRIC,37686-8,BIOLAB COSMIATRIC,37900-0,PHOTOPROT BLOQ SOL FPS100 ESC 40ML,B,D,Baixo desempenho.,52,0,1,31,31,6,0,74.99,12,1,41.33,0,2,
37686-8,BIOLAB COSMIATRIC,37686-8,BIOLAB COSMIATRIC,37901-8,PHOTOPROT BLOQ SOL FPS100 CLARO40ML,B,A,,152,593,542,456,1049,8,176,74.99,144,302,48.88,0,3,
37686-8,BIOLAB COSMIATRIC,37686-8,BIOLAB COSMIATRIC,38193-4,SKAN MOUSSE LIMPEZA FACIAL 150ML,B,A,,36,242,541,713,955,16,100,56.09,30,300,34.41,0,0,
37686-8,BIOLAB COSMIATRIC,37686-8,BIOLAB COSMIATRIC,38197-7,SKAN GEL CREME 50G,B,D,Baixo desempenho.,43,0,2,185,185,2,0,79.95,9,1,28.68,0,0,
37686-8,BIOLAB COSMIATRIC,37686-8,BIOLAB COSMIATRIC,39005-4,MP DRY ANTITRANSP MAO/PE LC 60 ML,B,A,,70,342,554,370,712,3,195,75.15,87,299,39.66,0,0,
37686-8,BIOLAB COSMIATRIC,37686-8,BIOLAB COSMIATRIC,40378-4,PHOTOPROT FLUID FPS45 150ML,B,A,,31,272,570,474,746,6,163,79.55,25,299,51.85,0,2,
37686-8,BIOLAB COSMIATRIC,37686-8,BIOLAB COSMIATRIC,40380-6,PHOTOPROT GEL FPS45 CR 120ML,B,A,,17,256,536,498,754,0,137,75.95,20,299,49.49,0,2,
